Metabolite_name	RefMet_name	i1E4-R1-003_1_Glc	i1E4-R1-003_2_Glc	i1E4-R1-003_3_Glc	i1JF-R1-018_1_Glc	i1JF-R1-018_2_Glc	i1JF-R1-018_3_Glc	i82A-R1-002_1_Glc	i82A-R1-002_2_Glc	i82A-R1-002_3_Glc	iG3G-R1-039_1_Glc	iG3G-R1-039_2_Glc	iG3G-R1-039_3_Glc	iO3H-R1-005_1_Glc	iO3H-R1-005_2_Glc	iO3H-R1-005_3_Glc	i1E4-R1-003_1_Gln	i1E4-R1-003_2_Gln	i1E4-R1-003_3_Gln	i1JF-R1-018_1_Gln	i1JF-R1-018_2_Gln	i1JF-R1-018_3_Gln	i82A-R1-002_1_Gln	i82A-R1-002_2_Gln	i82A-R1-002_3_Gln	iG3G-R1-039_1_Gln	iG3G-R1-039_2_Gln	iG3G-R1-039_3_Gln	iO3H-R1-005_1_Gln	iO3H-R1-005_2_Gln	iO3H-R1-005_3_Gln	i88H-R1-002_1_Glc	i88H-R1-002_2_Glc	i88H-R1-002_3_Glc	iAY6-R1-003_1_Glc	iAY6-R1-003_2_Glc	iAY6-R1-003_3_Glc	iC99-R1-007_1_Glc	iC99-R1-007_2_Glc	iC99-R1-007_3_Glc	iJ2C-R1-015_1_Glc	iJ2C-R1-015_2_Glc	iJ2C-R1-015_3_Glc	iM89-R1-005_1_Glc	iM89-R1-005_2_Glc	iM89-R1-005_3_Glc	iPX7-R1-001_1_Glc	iPX7-R1-001_2_Glc	iPX7-R1-001_3_Glc	iR66-R1-007_1_Glc	iR66-R1-007_2_Glc	iR66-R1-007_3_Glc	i88H-R1-002_1_Gln	i88H-R1-002_2_Gln	i88H-R1-002_3_Gln	iAY6-R1-003_1_Gln	iAY6-R1-003_2_Gln	iAY6-R1-003_3_Gln	iC99-R1-007_1_Gln	iC99-R1-007_2_Gln	iC99-R1-007_3_Gln	iJ2C-R1-015_1_Gln	iJ2C-R1-015_2_Gln	iJ2C-R1-015_3_Gln	iM89-R1-005_1_Gln	iM89-R1-005_2_Gln	iM89-R1-005_3_Gln	iPX7-R1-001_1_Gln	iPX7-R1-001_2_Gln	iPX7-R1-001_3_Gln	iR66-R1-007_1_Gln	iR66-R1-007_2_Gln	iR66-R1-007_3_Gln
Factors	-	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glucose	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:ctrl | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glucose	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine	disease_state:sPD | 13C_label:Glutamine
a-Ketoglutarate_346_M0	2-Oxoglutaric acid	0.6783	0.6921	0.7223	0.6237	0.6261	0.6465	0.5677	0.5469	0.5377	0.5995	0.6066	0.6193	0.6163	0.6068	0.6237	0.2780	0.2907	0.2814	0.2172	0.1958	0.2381	0.3839		0.3890		0.2151	0.2193	0.2333	0.0933	0.2320	0.5734	0.5607	0.5165	0.5428	0.5747	0.5420	0.6008		0.6140	0.6369	0.6640	0.6560	0.6173	0.6343	0.6175	0.5924	0.5598	0.5826	0.6351	0.5845		0.1654	0.1742	0.1649	0.2604	0.2323	0.2314	0.2613	0.2821	0.2715	0.2480	0.2613	0.2493	0.2341	0.2410	0.2394	0.1495	0.1601	0.1595	0.2250	0.2269	0.2404
a-Ketoglutarate_346_M1	2-Oxoglutaric acid	0.0084	0.0082	0.0050	0.0118	0.0094	0.0053	0.0174	0.0171	0.0191	0.0140	0.0117	0.0141	0.0108	0.0097	0.0104	0.0437	0.0462	0.0427	0.0639	0.0601	0.0697	0.0837		0.0830		0.0444	0.0466	0.0555	0.0679	0.0591	0.0094					0.0055	0.0111		0.0039	0.0109		0.0016	0.0128	0.0106	0.0105	0.0029	0.0131	0.0050	0.0030			0.0390	0.0355	0.0367	0.0233	0.0173	0.0216	0.0236	0.0370	0.0240	0.0403	0.0445	0.0454	0.0641	0.0634	0.0656	0.0434	0.0461	0.0433	0.0150	0.0260	0.0184
a-Ketoglutarate_346_M2	2-Oxoglutaric acid	0.1929	0.1855	0.1728	0.2168	0.2249	0.2169	0.2252	0.2342	0.2341	0.2020	0.1992	0.2070	0.2082	0.2114	0.2041	0.0637	0.0665	0.0625	0.0804	0.0803	0.0817	0.0764		0.0775		0.0707	0.0718	0.0722		0.0737	0.1977	0.2398	0.2212	0.1997	0.1938	0.1959	0.1995		0.1909	0.2053	0.2172	0.2088	0.2184	0.2150	0.2155	0.2268	0.2196	0.2270	0.1887	0.2129		0.0678	0.0707	0.0670	0.0521	0.0418	0.0501	0.0681	0.0704	0.0663	0.0687	0.0721	0.0707	0.0743		0.0746	0.0728	0.0746	0.0760		0.0517	0.0546
a-Ketoglutarate_346_M3	2-Oxoglutaric acid	0.0376	0.0336	0.0295	0.0439	0.0415	0.0358	0.0598	0.0633	0.0670	0.0509	0.0538	0.0482	0.0461	0.0485	0.0435	0.1391	0.1434	0.1422	0.1693	0.1680	0.1721	0.1400		0.1411		0.1509	0.1529	0.1530	0.1717	0.1590	0.0599		0.0620	0.0573	0.0547	0.0556	0.0500		0.0545	0.0414	0.0296	0.0404	0.0470	0.0419	0.0470	0.0518	0.0623	0.0484	0.0423	0.0526		0.1524	0.1413	0.1444	0.1204	0.1269	0.1246	0.1292	0.1376	0.1215	0.1395	0.1482	0.1491	0.1649	0.2039	0.1675	0.1618	0.1636	0.1663	0.1348	0.1263	0.1287
a-Ketoglutarate_346_M4	2-Oxoglutaric acid	0.0543	0.0536	0.0467	0.0679	0.0677	0.0628	0.0839	0.0892	0.0919	0.0835	0.0827	0.0752	0.0747	0.0769	0.0744	0.0187	0.0172	0.0179	0.0185	0.0187	0.0173	0.0135		0.0117		0.0190	0.0216	0.0199		0.0188	0.0937	0.1267	0.1162	0.1163	0.1010	0.1212	0.0838		0.0819	0.0672	0.0584	0.0632	0.0671	0.0664	0.0687	0.0807	0.0910	0.0899	0.0798	0.0913		0.0234	0.0272	0.0257	0.0206	0.0086	0.0214	0.0191	0.0183	0.0176	0.0210	0.0173	0.0201	0.0189	0.0177	0.0165	0.0244	0.0226	0.0232	0.0157	0.0209	0.0170
a-Ketoglutarate_346_M5	2-Oxoglutaric acid	0.0286	0.0269	0.0236	0.0358	0.0303	0.0326	0.0459	0.0494	0.0501	0.0502	0.0462	0.0362	0.0439	0.0466	0.0439	0.4569	0.4360	0.4534	0.4507	0.4772	0.4211	0.3025		0.2977		0.5000	0.4879	0.4661	0.6671	0.4574	0.0660	0.0729	0.0841	0.0838	0.0759	0.0798	0.0548		0.0548	0.0382	0.0308	0.0300	0.0374	0.0318	0.0407	0.0455	0.0541	0.0471	0.0511	0.0587		0.5521	0.5510	0.5613	0.5231	0.5731	0.5510	0.4987	0.4547	0.4990	0.4825	0.4566	0.4654	0.4437	0.4740	0.4365	0.5481	0.5330	0.5318	0.6095	0.5481	0.5409
Alanine_260_M0	Alanine	0.1642	0.1652	0.1808	0.1143	0.1493	0.1289	0.1591	0.1416	0.1583	0.1221	0.1631	0.1730	0.1149	0.1402	0.1432	0.9868	0.9836	0.9844	0.9829	0.9800	0.9797	0.9821		0.9879		0.9738	0.9729	0.9816	0.9702	0.9758	0.1527	0.1590	0.1575	0.1888	0.2091	0.1848	0.1739		0.2077	0.1635	0.2013	0.2054	0.1316	0.1090	0.1450	0.1491	0.1326	0.1523	0.1695	0.1892	0.1912	0.9792	0.9269	0.9650	0.9821	0.9730	0.9766	0.9698	0.9688	0.9608	0.9693	0.9766	0.9776	0.9765	0.9727	0.9690	0.9720	0.9779	0.9722	0.9643	0.9768	0.9681
Alanine_260_M1	Alanine	0.0188	0.0157	0.0143	0.0181	0.0121	0.0124	0.0131	0.0175	0.0125	0.0216	0.0135	0.0084	0.0191	0.0133	0.0089																0.0105	0.0052	0.0055	0.0063	0.0047	0.0049	0.0151		0.0093	0.0155	0.0082	0.0077	0.0190	0.0181	0.0125	0.0091	0.0122	0.0070	0.0113	0.0085	0.0057																					
Alanine_260_M2	Alanine	0.0394	0.0393	0.0377	0.0407	0.0374	0.0380	0.0427	0.0441	0.0432	0.0428	0.0393	0.0374	0.0393	0.0381	0.0375			0.0003	0.0001		0.0022					0.0016	0.0049		0.0083	0.0064	0.0338	0.0318	0.0324	0.0324	0.0315	0.0326	0.0423		0.0410	0.0401	0.0364	0.0371	0.0405	0.0401	0.0389	0.0342	0.0370	0.0341	0.0358	0.0356	0.0335		0.0096	0.0087		0.0055	0.0017	0.0047	0.0079	0.0107			0.0044	0.0040	0.0051	0.0068	0.0063	0.0005	0.0032	0.0076	0.0002	0.0072
